T,TID,PID,X,Y,Z
91.14481,1,4,-0.6631527,1.344095,-0.02206254
91.15731,1,4,-0.6723899,1.355347,-0.0228675
91.1707,1,4,-0.6804067,1.363612,-0.02297062
91.1857,1,4,-0.6879421,1.371438,-0.02240354
91.1992,1,4,-0.6938846,1.376648,-0.01960146
91.21299,1,4,-0.6996412,1.3826,-0.01725221
91.22799,1,4,-0.7045723,1.383877,-0.01520568
91.24241,1,4,-0.7073827,1.386888,-0.01709676
91.25464,1,4,-0.7084411,1.389628,-0.01263493
91.26868,1,4,-0.7074798,1.390218,-0.01181227
91.28262,1,4,-0.7055915,1.390887,-0.01055855
91.29626,1,4,-0.7027553,1.390948,-0.009849846
91.31035,1,4,-0.6979584,1.390365,-0.01020908
91.3248,1,4,-0.690111,1.388716,-0.01263088
91.33825,1,4,-0.6841865,1.38602,-0.01545501
91.35169,1,4,-0.6768156,1.382366,-0.01994085
91.36648,1,4,-0.6694287,1.378152,-0.02389586
91.38033,1,4,-0.6574257,1.372868,-0.02860546
91.39401,1,4,-0.6458594,1.369709,-0.03243423
91.40945,1,4,-0.6330529,1.365328,-0.03483474
91.42234,1,4,-0.6176561,1.360498,-0.03613251
91.43558,1,4,-0.6044902,1.356012,-0.03697449
91.4492,1,4,-0.5883422,1.349644,-0.03723127
91.46489,1,4,-0.5716935,1.344388,-0.03736633
91.47804,1,4,-0.5532733,1.339823,-0.03739017
91.49139,1,4,-0.5343364,1.335181,-0.03685236
91.50713,1,4,-0.5139736,1.330578,-0.03647083
91.51936,1,4,-0.4953493,1.32536,-0.0357331
91.53271,1,4,-0.4761215,1.319738,-0.03363758
91.54858,1,4,-0.457758,1.314708,-0.03169805
91.5611,1,4,-0.4378085,1.310036,-0.02812362
91.57556,1,4,-0.4189118,1.305745,-0.02611667
91.59234,1,4,-0.3996754,1.302581,-0.02564508
91.60249,1,4,-0.3812482,1.299146,-0.02516139
91.61706,1,4,-0.3635328,1.295723,-0.02526057
91.63081,1,4,-0.3469165,1.292195,-0.02572602
91.64494,1,4,-0.3325496,1.287766,-0.02637559
91.65868,1,4,-0.3190574,1.283084,-0.02640086
91.67217,1,4,-0.307131,1.278322,-0.02613908
91.68779,1,4,-0.2960157,1.273597,-0.02549976
91.70036,1,4,-0.2861474,1.268707,-0.0245207
91.71435,1,4,-0.2772108,1.263377,-0.02284199
91.72926,1,4,-0.269636,1.257299,-0.01987338
91.74348,1,4,-0.2617181,1.251299,-0.01678586
91.75605,1,4,-0.256689,1.244643,-0.01297235
91.77003,1,4,-0.256685,1.236954,-0.01024908
91.78394,1,4,-0.2599906,1.231433,-0.01066995
91.79779,1,4,-0.2595562,1.227414,-0.009461045
91.81266,1,4,-0.2547358,1.224721,-0.009673715
91.82563,1,4,-0.2496228,1.223541,-0.009860098
91.8399,1,4,-0.2454197,1.223148,-0.01218349
91.85378,1,4,-0.2445338,1.222206,-0.01441401
91.86737,1,4,-0.2457691,1.221037,-0.01671201
91.88141,1,4,-0.2481031,1.220145,-0.01957268
91.89519,1,4,-0.2507891,1.219895,-0.02267504
91.91074,1,4,-0.2536373,1.220059,-0.02583343
91.92316,1,4,-0.2545866,1.219963,-0.02822262
91.93678,1,4,-0.2554865,1.221223,-0.03053987
91.9511,1,4,-0.2559565,1.22204,-0.03214383
91.96487,1,4,-0.2570259,1.222929,-0.03316242
91.97922,1,4,-0.2581236,1.224767,-0.0341658
91.99396,1,4,-0.2581076,1.227156,-0.03573728
92.00743,1,4,-0.2563792,1.230134,-0.03720528
92.02074,1,4,-0.2530392,1.233429,-0.03838682
92.03512,1,4,-0.2489273,1.236741,-0.03921676
92.04863,1,4,-0.2433509,1.240207,-0.03952825
92.06212,1,4,-0.2351772,1.243448,-0.03894722
92.07652,1,4,-0.2272189,1.24587,-0.03801626
92.09031,1,4,-0.2197208,1.247543,-0.03637075
92.10374,1,4,-0.21167,1.248531,-0.03365028
92.11787,1,4,-0.204399,1.249968,-0.03183568
92.13191,1,4,-0.19556,1.251284,-0.02941114
92.14581,1,4,-0.1876281,1.252298,-0.02688986
92.15935,1,4,-0.1804875,1.252894,-0.02406031
92.17538,1,4,-0.1745974,1.252146,-0.01980972
92.18754,1,4,-0.1692286,1.250538,-0.0151276
92.20125,1,4,-0.1707702,1.246843,-0.008149564
92.21614,1,4,-0.1718105,1.244504,-0.004746258
92.22911,1,4,-0.1740146,1.241998,-0.0042817
92.24348,1,4,-0.1754916,1.241812,-0.006339848
92.25732,1,4,-0.175193,1.241242,-0.007481515
92.27154,1,4,-0.1792953,1.241794,-0.01050937
92.28496,1,4,-0.1929868,1.240996,-0.0138672
92.29877,1,4,-0.2068531,1.239866,-0.0151841
92.31332,1,4,-0.2242255,1.237218,-0.01625836
92.32666,1,4,-0.2446999,1.234157,-0.01734358
92.34127,1,4,-0.2664971,1.230138,-0.01728559
92.35528,1,4,-0.2869394,1.225188,-0.01741403
92.368,1,4,-0.3107864,1.220162,-0.01966596
92.38248,1,4,-0.3349983,1.213598,-0.02079982
92.39655,1,4,-0.3592446,1.206071,-0.02148575
92.41206,1,4,-0.3853293,1.197563,-0.02211267
92.42445,1,4,-0.4120864,1.188131,-0.02284741
92.43813,1,4,-0.4379152,1.179408,-0.02442312
92.45329,1,4,-0.4632083,1.170832,-0.02600443
92.4658,1,4,-0.4883981,1.162783,-0.02843457
92.47983,1,4,-0.5128759,1.154569,-0.03057456
92.494,1,4,-0.537186,1.14615,-0.03245157
